analysis,held_out,n_test,cov_sLSCP,cov_GBM,width_sLSCP,width_GBM,scenario
leave_region,North China,135,0.9407407407407408,0.5481481481481482,97.12608042081828,58.796288696805085,SA1_secondary_outcome
leave_region,Northeast China,81,0.9876543209876543,0.49382716049382713,135.8577628296521,43.892254672410715,SA1_secondary_outcome
leave_region,East China,189,0.8518518518518519,0.5238095238095238,108.41164659594739,45.798884986775846,SA1_secondary_outcome
leave_region,Central China,81,0.9382716049382716,0.7777777777777778,93.29095154775868,51.161355904840974,SA1_secondary_outcome
leave_region,South China,81,0.9135802469135802,0.2345679012345679,117.25813292320957,43.150364976681374,SA1_secondary_outcome
leave_region,Southwest China,135,0.9037037037037037,0.4962962962962963,129.23660114090396,51.465383740574254,SA1_secondary_outcome
leave_region,Northwest China,135,0.9851851851851852,0.4444444444444444,111.11818747559843,56.14158175852767,SA1_secondary_outcome
leave_year,2020-2024,155,0.7806451612903226,0.8387096774193549,71.99096551519186,60.79712496395672,SA1_secondary_outcome
leave_region,North China,50,0.6,0.84,22.83790218281199,29.99012595063401,SA2_window_2015_2024
leave_region,Northeast China,30,1.0,1.0,50.64770278241909,37.450277708150736,SA2_window_2015_2024
leave_region,East China,70,0.6285714285714286,0.9142857142857143,31.744908601356364,22.37084544381237,SA2_window_2015_2024
leave_region,Central China,30,0.9666666666666667,0.9666666666666667,28.672951249363805,27.634642739268443,SA2_window_2015_2024
leave_region,South China,30,1.0,0.36666666666666664,37.69592865034859,27.486129135714524,SA2_window_2015_2024
leave_region,Southwest China,50,1.0,0.5,48.78586639896767,26.221057727961423,SA2_window_2015_2024
leave_region,Northwest China,50,0.98,0.9,54.156844184871424,28.00834425699294,SA2_window_2015_2024
yrd_sub,YRD,108,1.0,0.5,40.19570686601505,12.417263388917881,SA3_yrd
calfrac_20,North China,135,0.7333333333333333,0.37777777777777777,34.24797188798409,14.308687478705224,SA4_calfrac_20
calfrac_20,Northeast China,81,1.0,0.8395061728395061,54.7777641899817,15.317088243886275,SA4_calfrac_20
calfrac_20,East China,189,0.8148148148148148,0.5661375661375662,38.3299456978336,15.954705998333367,SA4_calfrac_20
calfrac_20,Central China,81,0.8641975308641975,0.6666666666666666,31.992815463604977,15.302340554394263,SA4_calfrac_20
calfrac_20,South China,81,1.0,0.2962962962962963,48.3801164456839,14.009578534512698,SA4_calfrac_20
calfrac_20,Southwest China,135,1.0,0.34074074074074073,41.16268860972129,12.424620997035035,SA4_calfrac_20
calfrac_20,Northwest China,135,0.9111111111111111,0.2740740740740741,48.68892220063606,13.479336892665444,SA4_calfrac_20
calfrac_40,North China,135,0.7407407407407407,0.4962962962962963,34.446114487080244,16.10037854206321,SA4_calfrac_40
calfrac_40,Northeast China,81,1.0,0.9012345679012346,55.97272943932634,16.554985654897116,SA4_calfrac_40
calfrac_40,East China,189,0.8148148148148148,0.582010582010582,40.2918965218292,15.869336987526133,SA4_calfrac_40
calfrac_40,Central China,81,0.8888888888888888,0.5679012345679012,33.52253133263726,15.050413110435557,SA4_calfrac_40
calfrac_40,South China,81,1.0,0.2839506172839506,45.974346535416515,14.160517696786705,SA4_calfrac_40
calfrac_40,Southwest China,135,1.0,0.35555555555555557,44.84418432475306,14.917911111593895,SA4_calfrac_40
calfrac_40,Northwest China,135,0.9333333333333333,0.23703703703703705,50.285858088082364,15.03818406976336,SA4_calfrac_40
leave_region,North China,120,0.6833333333333333,0.44166666666666665,33.6496712903932,15.451012807319032,SA5_exclude_2020_2022
leave_region,Northeast China,72,1.0,0.8194444444444444,53.75500916593352,13.642749501592789,SA5_exclude_2020_2022
leave_region,East China,168,0.8392857142857143,0.6190476190476191,37.109337757588364,14.687266105247076,SA5_exclude_2020_2022
leave_region,Central China,72,0.8194444444444444,0.5416666666666666,31.795589552446742,14.793861627357927,SA5_exclude_2020_2022
leave_region,South China,72,1.0,0.3055555555555556,42.64259111225589,14.817145087911378,SA5_exclude_2020_2022
leave_region,Southwest China,120,0.9916666666666667,0.375,40.87001253617697,12.144298597015364,SA5_exclude_2020_2022
leave_region,Northwest China,120,0.8916666666666667,0.2833333333333333,46.08222586086104,13.147766924816281,SA5_exclude_2020_2022
leave_region,North China,135,0.7185185185185186,0.48148148148148145,33.649671290393194,15.451012807319032,REF_primary_A
leave_region,Northeast China,81,1.0,0.8395061728395061,53.755009165933494,13.642749501592789,REF_primary_A
leave_region,East China,189,0.7936507936507936,0.6084656084656085,37.1093377575884,14.687266105247076,REF_primary_A
leave_region,Central China,81,0.8395061728395061,0.5925925925925926,31.795589552446742,14.793861627357927,REF_primary_A
leave_region,South China,81,1.0,0.2839506172839506,42.64259111225589,14.817145087911378,REF_primary_A
leave_region,Southwest China,135,0.9925925925925926,0.35555555555555557,40.870012536177,12.144298597015364,REF_primary_A
leave_region,Northwest China,135,0.8888888888888888,0.2962962962962963,46.08222586086101,13.147766924816281,REF_primary_A
leave_year,2020-2024,155,0.7935483870967742,0.7483870967741936,25.736257771949347,13.7284350796362,REF_primary_B
