held_out,n_train,sigma2,phi,tau2,eta,phi_over_span,eta_over_span,pct_variance_spatial
North China,401,740.5872467324463,1.602668367083511,45.85095204458293,3.205336734167022,1.6338045458389583,3.2676090916779166,94.16979590819918
Northeast China,432,1030.6499713921746,1.433056600350203,58.82583853274284,2.866113200700406,1.4608976106250708,2.9217952212501417,94.60053743306179
East China,370,898.9132765956033,1.1782029740412485,59.004240426602344,2.356405948082497,1.2010927615752134,2.4021855231504268,93.84036314420644
Central China,432,752.4219360862149,1.091820012335524,52.26783710358653,2.183640024671048,1.1130315766061265,2.226063153212253,93.50459781582708
South China,432,787.5098531313098,1.08982373242934,60.46711112083206,2.17964746485868,1.1109965135497406,2.221993027099481,92.86925073794193
Southwest China,401,911.8195821329052,1.2916468298734487,64.74478601594961,2.5832936597468974,1.3167405719163097,2.6334811438326193,93.37014659477308
Northwest China,401,646.8954928752099,0.8635661317804291,61.67921356101788,1.7271322635608581,0.8803432454980948,1.7606864909961897,91.29531254774346
